category,operation,calls
D,aten.pow.Tensor_Scalar,1432
D,aten.select.int,8048
D,aten.slice.Tensor,792
D,aten.stack.default,3132
D,aten.unsqueeze.default,396
D,aten.view.default,4414
D,aten.where.self,436
D,aten.zeros.default,150
D,aten.zeros_like.default,570
E,aten._local_scalar_dense.default,5316
E,aten.abs.default,820
E,aten.add.Tensor,1670
E,aten.all.default,426
E,aten.any.default,4314
E,aten.clone.default,6046
E,aten.detach.default,376
E,aten.eq.Scalar,12
E,aten.eq.Tensor,386
E,aten.equal.default,24
E,aten.full_like.default,1508
E,aten.gt.Tensor,1438
E,aten.isnan.default,2876
E,aten.le.Tensor,414
E,aten.lift_fresh.default,414
E,aten.max.dim,202
E,aten.min.dim,202
E,aten.mul.Tensor,2222
E,aten.ne.Scalar,386
E,aten.nextafter.default,1508
E,aten.stack.default,202
E,aten.sub.Tensor,508
E,aten.view.default,2906
E,aten.zeros.default,464
E,aten.zeros_like.default,1074
F,aten._local_scalar_dense.default,184
F,aten.abs.default,134
F,aten.all.default,8
F,aten.any.default,14
F,aten.clone.default,20
F,aten.detach.default,168
F,aten.eq.Scalar,8
F,aten.eq.Tensor,78
F,aten.full_like.default,6
F,aten.gt.Tensor,4
F,aten.isnan.default,8
F,aten.lift_fresh.default,92
F,aten.max.default,56
F,aten.mul.Tensor,78
F,aten.ne.Scalar,80
F,aten.neg.default,2
F,aten.nextafter.default,6
F,aten.ones.default,2
F,aten.sub.Tensor,66
F,aten.view.default,16
F,aten.zeros.default,6
G,aten._local_scalar_dense.default,36067
G,aten.abs.default,158
G,aten.add.Tensor,2002
G,aten.all.default,180
G,aten.amax.default,4
G,aten.amin.default,4
G,aten.any.default,11990
G,aten.bitwise_and.Tensor,12
G,aten.clone.default,15984
G,aten.detach.default,47780
G,aten.eq.Tensor,158
G,aten.full_like.default,2051
G,aten.ge.Scalar,2
G,aten.ge.Tensor,12
G,aten.gt.Tensor,3996
G,aten.isnan.default,7992
G,aten.le.Scalar,2
G,aten.le.Tensor,27
G,aten.lift_fresh.default,29
G,aten.max.dim,6
G,aten.min.dim,6
G,aten.mul.Tensor,194
G,aten.ne.Scalar,158
G,aten.nextafter.default,2051
G,aten.reciprocal.default,4
G,aten.select.int,25868
G,aten.slice.Tensor,24
G,aten.stack.default,8004
G,aten.sub.Tensor,33
G,aten.view.default,67690
G,aten.zeros.default,2
G,aten.zeros_like.default,4
H,aten._local_scalar_dense.default,198
H,aten.abs.default,44
H,aten.add.Tensor,50
H,aten.all.default,4
H,aten.any.default,102
H,aten.clone.default,136
H,aten.detach.default,96
H,aten.div.Tensor,2
H,aten.eq.Scalar,4
H,aten.eq.Tensor,44
H,aten.full_like.default,90
H,aten.gt.Tensor,34
H,aten.isnan.default,68
H,aten.lift_fresh.default,48
H,aten.max.dim,6
H,aten.min.dim,6
H,aten.mul.Tensor,68
H,aten.ne.Scalar,44
H,aten.nextafter.default,90
H,aten.stack.default,6
H,aten.sub.Tensor,30
H,aten.view.default,72
H,aten.zeros.default,8
outside_boundary,aten._local_scalar_dense.default,12223
outside_boundary,aten._to_copy.default,126
outside_boundary,aten.abs.default,3839
outside_boundary,aten.add.Tensor,2162
outside_boundary,aten.all.default,6491
outside_boundary,aten.all.dim,337
outside_boundary,aten.allclose.default,486
outside_boundary,aten.any.default,1070
outside_boundary,aten.arange.default,147
outside_boundary,aten.bitwise_and.Tensor,983
outside_boundary,aten.bitwise_not.default,9
outside_boundary,aten.cat.default,632
outside_boundary,aten.clamp.default,126
outside_boundary,aten.clone.default,11345
outside_boundary,aten.copy_.default,331
outside_boundary,aten.count_nonzero.default,315
outside_boundary,aten.detach.default,3034
outside_boundary,aten.div.Tensor,9
outside_boundary,aten.empty.memory_format,92
outside_boundary,aten.eq.Scalar,321
outside_boundary,aten.eq.Tensor,1150
outside_boundary,aten.expand.default,168
outside_boundary,aten.full.default,84
outside_boundary,aten.full_like.default,5652
outside_boundary,aten.ge.Scalar,967
outside_boundary,aten.ge.Tensor,326
outside_boundary,aten.gt.Tensor,500
outside_boundary,aten.index.Tensor,24
outside_boundary,aten.index_put_.default,24
outside_boundary,aten.index_select.default,1740
outside_boundary,aten.isnan.default,370
outside_boundary,aten.le.Scalar,601
outside_boundary,aten.le.Tensor,5723
outside_boundary,aten.lift_fresh.default,600
outside_boundary,aten.lt.Tensor,315
outside_boundary,aten.max.default,756
outside_boundary,aten.max.dim,3518
outside_boundary,aten.maximum.default,937
outside_boundary,aten.min.default,189
outside_boundary,aten.min.dim,3518
outside_boundary,aten.minimum.default,719
outside_boundary,aten.mul.Tensor,7583
outside_boundary,aten.ne.Scalar,1110
outside_boundary,aten.new_empty.default,46
outside_boundary,aten.nextafter.default,5699
outside_boundary,aten.nonzero.default,189
outside_boundary,aten.ones.default,317
outside_boundary,aten.ones_like.default,756
outside_boundary,aten.pow.Tensor_Scalar,9874
outside_boundary,aten.pow.Tensor_Tensor,378
outside_boundary,aten.scatter_add_.default,93
outside_boundary,aten.scatter_reduce_.two,84
outside_boundary,aten.select.int,7664
outside_boundary,aten.set_.source_Storage,92
outside_boundary,aten.set_.source_Storage_storage_offset,46
outside_boundary,aten.slice.Tensor,5903
outside_boundary,aten.stack.default,4872
outside_boundary,aten.sub.Tensor,800
outside_boundary,aten.sum.dim_IntList,735
outside_boundary,aten.unbind.int,1556
outside_boundary,aten.unsqueeze.default,638
outside_boundary,aten.view.default,1262
outside_boundary,aten.where.self,3003
outside_boundary,aten.zeros.default,127
outside_boundary,aten.zeros_like.default,2025
