implementation,step_index,absolute_time,step_size,order,completed
original,59,1.383635,0.049148,4,True
original,60,1.437698,0.054063,4,True
original,61,1.497167,0.059469,4,True
original,62,1.562583,0.065416,4,True
original,63,1.63454,0.071958,4,True
original,64,1.713693,0.079153,4,True
original,65,1.757228,0.043534,4,True
original,66,1.805116,0.047888,4,True
original,67,1.857792,0.052677,4,True
original,68,1.915736,0.057944,4,True
original,69,1.979475,0.063739,4,True
original,70,2.049587,0.070112,4,True
original,71,2.126711,0.077124,4,True
original,72,2.211547,0.084836,4,True
original,73,2.258207,0.04666,4,True
original,74,2.309533,0.051326,4,True
original,75,2.365991,0.056458,4,True
original,76,2.428096,0.062104,4,True
original,77,2.49641,0.068315,4,True
original,78,2.533983,0.037573,4,True
original,79,2.575314,0.04133,4,True
original,80,2.620777,0.045463,4,True
original,81,2.670787,0.05001,4,True
original,82,2.725798,0.055011,4,True
original,83,2.756054,0.030256,4,True
original,84,2.789335,0.033282,4,True
original,85,2.825945,0.03661,4,True
original,86,2.866215,0.040271,4,True
original,87,2.910513,0.044298,4,True
original,88,2.934877,0.024364,4,True
original,89,2.961677,0.0268,4,True
original,90,2.991157,0.02948,4,True
original,91,3.023585,0.032428,4,True
original,92,3.059256,0.035671,4,True
original,93,3.078875,0.019619,4,True
original,94,3.100456,0.021581,4,True
original,95,3.124195,0.023739,4,True
original,96,3.150308,0.026113,4,True
original,97,3.179032,0.028724,4,True
original,98,3.210629,0.031597,4,True
original,99,3.228007,0.017378,4,True
original,100,3.247123,0.019116,4,True
original,101,3.26815,0.021028,4,True
original,102,3.291281,0.02313,4,True
original,103,3.316724,0.025443,4,True
original,104,3.344712,0.027988,4,True
original,105,3.360105,0.015393,4,True
original,106,3.377037,0.016933,4,True
original,107,3.395663,0.018626,4,True
original,108,3.416152,0.020488,4,True
original,109,3.438689,0.022537,4,True
original,110,3.46348,0.024791,4,True
original,111,3.49075,0.02727,4,True
original,112,3.505748,0.014999,4,True
original,113,3.522247,0.016498,4,True
original,114,3.540395,0.018148,4,True
original,115,3.560358,0.019963,4,True
original,116,3.582317,0.021959,4,True
original,117,3.606472,0.024155,4,True
original,118,3.633043,0.026571,4,True
original,119,3.662271,0.029228,4,True
original,120,3.694422,0.032151,4,True
original,121,3.712104,0.017683,4,True
original,122,3.731556,0.019451,4,True
original,123,3.752952,0.021396,4,True
original,124,3.776488,0.023536,4,True
original,125,3.802377,0.025889,4,True
original,126,3.830856,0.028478,4,True
original,127,3.862182,0.031326,4,True
original,128,3.896641,0.034459,4,True
original,129,3.934545,0.037905,4,True
original,130,3.976241,0.041695,4,True
original,131,4.022105,0.045865,4,True
original,132,4.072557,0.050451,4,True
original,133,4.128053,0.055496,4,True
original,134,4.189099,0.061046,4,True
original,135,4.222674,0.033575,4,True
original,136,4.259607,0.036933,4,True
original,137,4.300233,0.040626,4,True
original,138,4.344922,0.044689,4,True
original,139,4.39408,0.049158,4,True
original,140,4.448153,0.054073,4,True
original,141,4.507634,0.059481,4,True
original,142,4.573062,0.065429,4,True
original,143,4.645034,0.071972,4,True
original,144,4.724203,0.079169,4,True
original,145,4.811289,0.087086,4,True
original,146,4.859186,0.047897,4,True
original,147,4.911873,0.052687,4,True
original,148,4.969828,0.057956,4,True
original,149,5.033579,0.063751,4,True
original,150,5.103705,0.070126,4,True
original,151,5.180844,0.077139,4,True
original,152,5.265697,0.084853,4,True
original,153,5.312366,0.046669,4,True
original,154,5.363702,0.051336,4,True
original,155,5.420171,0.056469,4,True
original,156,5.482287,0.062116,4,True
original,157,5.550616,0.068328,4,True
original,158,5.625776,0.075161,4,True
original,159,5.667115,0.041338,4,True
original,160,5.712587,0.045472,4,True
original,161,5.762607,0.05002,4,True
original,162,5.817628,0.055021,4,True
original,163,5.878152,0.060524,4,True
original,164,5.91144,0.033288,4,True
original,165,5.948057,0.036617,4,True
original,166,5.988335,0.040278,4,True
original,167,6.032641,0.044306,4,True
original,168,6.081378,0.048737,4,True
original,169,6.134989,0.053611,4,True
original,170,6.164475,0.029486,4,True
original,171,6.196909,0.032434,4,True
original,172,6.232587,0.035678,4,True
original,173,6.271833,0.039246,4,True
original,174,6.293418,0.021585,4,True
original,175,6.317162,0.023744,4,True
original,176,6.34328,0.026118,4,True
original,177,6.37201,0.02873,4,True
original,178,6.403612,0.031603,4,True
original,179,6.420994,0.017382,4,True
original,180,6.440114,0.01912,4,True
original,181,6.461145,0.021032,4,True
original,182,6.48428,0.023135,4,True
original,183,6.509728,0.025448,4,True
original,184,6.537722,0.027993,4,True
original,185,6.553118,0.015396,4,True
original,186,6.570054,0.016936,4,True
original,187,6.588683,0.018629,4,True
original,188,6.609175,0.020492,4,True
original,189,6.631717,0.022542,4,True
original,190,6.656513,0.024796,4,True
original,191,6.67015,0.013638,4,True
original,192,6.685152,0.015001,4,True
original,193,6.701653,0.016502,4,True
original,194,6.719805,0.018152,4,True
original,195,6.739772,0.019967,4,True
original,196,6.761736,0.021964,4,True
original,197,6.785896,0.02416,4,True
original,198,6.799184,0.013288,4,True
original,199,6.8138,0.014617,4,True
original,200,6.829879,0.016078,4,True
original,201,6.847565,0.017686,4,True
original,202,6.86702,0.019455,4,True
original,203,6.888421,0.0214,4,True
original,204,6.911961,0.02354,4,True
original,205,6.937856,0.025895,4,True
original,206,6.96634,0.028484,4,True
original,207,6.982006,0.015666,4,True
original,208,6.999239,0.017233,4,True
original,209,7.018195,0.018956,4,True
original,210,7.039046,0.020852,4,True
original,211,7.061983,0.022937,4,True
original,212,7.087214,0.025231,4,True
original,213,7.114967,0.027754,4,True
original,214,7.145496,0.030529,4,True
original,215,7.179078,0.033582,4,True
original,216,7.216018,0.03694,4,True
original,217,7.256652,0.040634,4,True
original,218,7.30135,0.044697,4,True
original,219,7.350517,0.049167,4,True
original,220,7.377559,0.027042,4,True
original,221,7.407305,0.029746,4,True
original,222,7.440026,0.032721,4,True
original,223,7.476019,0.035993,4,True
original,224,7.515611,0.039592,4,True
original,225,7.559162,0.043551,4,True
original,226,7.607069,0.047906,4,True
original,227,7.659766,0.052697,4,True
original,228,7.717733,0.057967,4,True
original,229,7.781496,0.063764,4,True
original,230,7.851636,0.07014,4,True
original,231,7.890213,0.038577,4,True
original,232,7.932648,0.042435,4,True
original,233,7.979326,0.046678,4,True
original,234,8.030672,0.051346,4,True
original,235,8.087152,0.05648,4,True
original,236,8.149281,0.062129,4,True
original,237,8.217622,0.068341,4,True
original,238,8.292798,0.075176,4,True
original,239,8.334144,0.041347,4,True
original,240,8.379625,0.045481,4,True
original,241,8.429655,0.050029,4,True
original,242,8.484687,0.055032,4,True
original,243,8.545222,0.060535,4,True
original,244,8.611811,0.066589,4,True
original,245,8.685059,0.073248,4,True
original,246,8.725346,0.040286,4,True
original,247,8.769661,0.044315,4,True
original,248,8.818407,0.048746,4,True
original,249,8.872028,0.053621,4,True
original,250,8.931012,0.058983,4,True
original,251,8.995893,0.064882,4,True
original,252,9.031578,0.035685,4,True
original,253,9.070831,0.039253,4,True
original,254,9.11401,0.043179,4,True
original,255,9.161507,0.047497,4,True
original,256,9.213753,0.052246,4,True
original,257,9.242488,0.028735,4,True
original,258,9.274097,0.031609,4,True
original,259,9.308867,0.03477,4,True
original,260,9.347114,0.038247,4,True
original,261,9.389185,0.042072,4,True
original,262,9.435464,0.046279,4,True
original,263,9.460917,0.025453,4,True
original,264,9.488916,0.027999,4,True
original,265,9.519715,0.030798,4,True
original,266,9.553593,0.033878,4,True
original,267,9.590859,0.037266,4,True
original,268,9.611355,0.020496,4,True
original,269,9.633901,0.022546,4,True
original,270,9.658702,0.024801,4,True
original,271,9.685983,0.027281,4,True
original,272,9.700987,0.015004,4,True
original,273,9.717492,0.016505,4,True
original,274,9.735647,0.018155,4,True
original,275,9.755618,0.019971,4,True
original,276,9.777586,0.021968,4,True
original,277,9.801751,0.024165,4,True
original,278,9.815041,0.013291,4,True
original,279,9.829661,0.01462,4,True
original,280,9.845742,0.016082,4,True
original,281,9.863432,0.01769,4,True
original,282,9.882891,0.019459,4,True
original,283,9.904295,0.021405,4,True
original,284,9.916068,0.011773,4,True
original,285,9.929018,0.01295,4,True
original,286,9.943263,0.014245,4,True
original,287,9.958932,0.015669,4,True
original,288,9.976168,0.017236,4,True
original,289,9.995128,0.01896,4,True
original,290,10.0,0.004872,4,True
generated_identical,1,0.0125,0.0125,4,True
generated_identical,2,0.02625,0.01375,4,True
generated_identical,3,0.041375,0.015125,4,True
generated_identical,4,0.058013,0.016638,4,True
generated_identical,5,0.076314,0.018301,4,True
generated_identical,6,0.096445,0.020131,4,True
generated_identical,7,0.107517,0.011072,4,True
generated_identical,8,0.119697,0.012179,4,True
generated_identical,9,0.133094,0.013397,4,True
generated_identical,10,0.147831,0.014737,4,True
generated_identical,11,0.164042,0.016211,4,True
generated_identical,12,0.181874,0.017832,4,True
generated_identical,13,0.191682,0.009808,4,True
generated_identical,14,0.20247,0.010788,4,True
generated_identical,15,0.214337,0.011867,4,True
generated_identical,16,0.227391,0.013054,4,True
generated_identical,17,0.241751,0.014359,4,True
generated_identical,18,0.257546,0.015795,4,True
generated_identical,19,0.274921,0.017375,4,True
generated_identical,20,0.294033,0.019112,4,True
generated_identical,21,0.304545,0.010512,4,True
generated_identical,22,0.316107,0.011563,4,True
generated_identical,23,0.328827,0.012719,4,True
generated_identical,24,0.342818,0.013991,4,True
generated_identical,25,0.358208,0.01539,4,True
generated_identical,26,0.375137,0.016929,4,True
generated_identical,27,0.393759,0.018622,4,True
generated_identical,28,0.414244,0.020484,4,True
generated_identical,29,0.436776,0.022533,4,True
generated_identical,30,0.44917,0.012393,4,True
generated_identical,31,0.462802,0.013632,4,True
generated_identical,32,0.477797,0.014996,4,True
generated_identical,33,0.494293,0.016495,4,True
generated_identical,34,0.512437,0.018145,4,True
generated_identical,35,0.532396,0.019959,4,True
generated_identical,36,0.554351,0.021955,4,True
generated_identical,37,0.578502,0.024151,4,True
generated_identical,38,0.605067,0.026566,4,True
generated_identical,39,0.63429,0.029222,4,True
generated_identical,40,0.666434,0.032144,4,True
generated_identical,41,0.701793,0.035359,4,True
generated_identical,42,0.72124,0.019447,4,True
generated_identical,43,0.742632,0.021392,4,True
generated_identical,44,0.766163,0.023531,4,True
generated_identical,45,0.792048,0.025884,4,True
generated_identical,46,0.820521,0.028473,4,True
generated_identical,47,0.851841,0.03132,4,True
generated_identical,48,0.886293,0.034452,4,True
generated_identical,49,0.92419,0.037897,4,True
generated_identical,50,0.965877,0.041687,4,True
generated_identical,51,1.011733,0.045856,4,True
generated_identical,52,1.062175,0.050441,4,True
generated_identical,53,1.11766,0.055486,4,True
generated_identical,54,1.178694,0.061034,4,True
generated_identical,55,1.212263,0.033569,4,True
generated_identical,56,1.249189,0.036926,4,True
generated_identical,57,1.289807,0.040618,4,True
generated_identical,58,1.334487,0.04468,4,True
generated_identical,59,1.383635,0.049148,4,True
generated_identical,60,1.437698,0.054063,4,True
generated_identical,61,1.497167,0.059469,4,True
generated_identical,62,1.562583,0.065416,4,True
generated_identical,63,1.63454,0.071958,4,True
generated_identical,64,1.713693,0.079153,4,True
generated_identical,65,1.757228,0.043534,4,True
generated_identical,66,1.805116,0.047888,4,True
generated_identical,67,1.857792,0.052677,4,True
generated_identical,68,1.915736,0.057944,4,True
generated_identical,69,1.979475,0.063739,4,True
generated_identical,70,2.049587,0.070112,4,True
generated_identical,71,2.126711,0.077124,4,True
generated_identical,72,2.211547,0.084836,4,True
generated_identical,73,2.258207,0.04666,4,True
generated_identical,74,2.309533,0.051326,4,True
generated_identical,75,2.365991,0.056458,4,True
generated_identical,76,2.428096,0.062104,4,True
generated_identical,77,2.49641,0.068315,4,True
generated_identical,78,2.533983,0.037573,4,True
generated_identical,79,2.575314,0.04133,4,True
generated_identical,80,2.620777,0.045463,4,True
generated_identical,81,2.670787,0.05001,4,True
generated_identical,82,2.725798,0.055011,4,True
generated_identical,83,2.756054,0.030256,4,True
generated_identical,84,2.789335,0.033282,4,True
generated_identical,85,2.825945,0.03661,4,True
generated_identical,86,2.866215,0.040271,4,True
generated_identical,87,2.910513,0.044298,4,True
generated_identical,88,2.934877,0.024364,4,True
generated_identical,89,2.961677,0.0268,4,True
generated_identical,90,2.991157,0.02948,4,True
generated_identical,91,3.023585,0.032428,4,True
generated_identical,92,3.059256,0.035671,4,True
generated_identical,93,3.078875,0.019619,4,True
generated_identical,94,3.100456,0.021581,4,True
generated_identical,95,3.124195,0.023739,4,True
generated_identical,96,3.150308,0.026113,4,True
generated_identical,97,3.179032,0.028724,4,True
generated_identical,98,3.210629,0.031597,4,True
generated_identical,99,3.228007,0.017378,4,True
generated_identical,100,3.247123,0.019116,4,True
generated_identical,101,3.26815,0.021028,4,True
generated_identical,102,3.291281,0.02313,4,True
generated_identical,103,3.316724,0.025443,4,True
generated_identical,104,3.344712,0.027988,4,True
generated_identical,105,3.360105,0.015393,4,True
generated_identical,106,3.377037,0.016933,4,True
generated_identical,107,3.395663,0.018626,4,True
generated_identical,108,3.416152,0.020488,4,True
generated_identical,109,3.438689,0.022537,4,True
generated_identical,110,3.46348,0.024791,4,True
generated_identical,111,3.49075,0.02727,4,True
generated_identical,112,3.505748,0.014999,4,True
generated_identical,113,3.522247,0.016498,4,True
generated_identical,114,3.540395,0.018148,4,True
generated_identical,115,3.560358,0.019963,4,True
generated_identical,116,3.582317,0.021959,4,True
generated_identical,117,3.606472,0.024155,4,True
generated_identical,118,3.633043,0.026571,4,True
generated_identical,119,3.662271,0.029228,4,True
generated_identical,120,3.694422,0.032151,4,True
generated_identical,121,3.712104,0.017683,4,True
generated_identical,122,3.731556,0.019451,4,True
generated_identical,123,3.752952,0.021396,4,True
generated_identical,124,3.776488,0.023536,4,True
generated_identical,125,3.802377,0.025889,4,True
generated_identical,126,3.830856,0.028478,4,True
generated_identical,127,3.862182,0.031326,4,True
generated_identical,128,3.896641,0.034459,4,True
generated_identical,129,3.934545,0.037905,4,True
generated_identical,130,3.976241,0.041695,4,True
generated_identical,131,4.022105,0.045865,4,True
generated_identical,132,4.072557,0.050451,4,True
generated_identical,133,4.128053,0.055496,4,True
generated_identical,134,4.189099,0.061046,4,True
generated_identical,135,4.222674,0.033575,4,True
generated_identical,136,4.259607,0.036933,4,True
generated_identical,137,4.300233,0.040626,4,True
generated_identical,138,4.344922,0.044689,4,True
generated_identical,139,4.39408,0.049158,4,True
generated_identical,140,4.448153,0.054073,4,True
generated_identical,141,4.507634,0.059481,4,True
generated_identical,142,4.573062,0.065429,4,True
generated_identical,143,4.645034,0.071972,4,True
generated_identical,144,4.724203,0.079169,4,True
generated_identical,145,4.811289,0.087086,4,True
generated_identical,146,4.859186,0.047897,4,True
generated_identical,147,4.911873,0.052687,4,True
generated_identical,148,4.969828,0.057956,4,True
generated_identical,149,5.033579,0.063751,4,True
generated_identical,150,5.103705,0.070126,4,True
generated_identical,151,5.180844,0.077139,4,True
generated_identical,152,5.265697,0.084853,4,True
generated_identical,153,5.312366,0.046669,4,True
generated_identical,154,5.363702,0.051336,4,True
generated_identical,155,5.420171,0.056469,4,True
generated_identical,156,5.482287,0.062116,4,True
generated_identical,157,5.550616,0.068328,4,True
generated_identical,158,5.625776,0.075161,4,True
generated_identical,159,5.667115,0.041338,4,True
generated_identical,160,5.712587,0.045472,4,True
generated_identical,161,5.762607,0.05002,4,True
generated_identical,162,5.817628,0.055021,4,True
generated_identical,163,5.878152,0.060524,4,True
generated_identical,164,5.91144,0.033288,4,True
generated_identical,165,5.948057,0.036617,4,True
generated_identical,166,5.988335,0.040278,4,True
generated_identical,167,6.032641,0.044306,4,True
generated_identical,168,6.081378,0.048737,4,True
generated_identical,169,6.134989,0.053611,4,True
generated_identical,170,6.164475,0.029486,4,True
generated_identical,171,6.196909,0.032434,4,True
generated_identical,172,6.232587,0.035678,4,True
generated_identical,173,6.271833,0.039246,4,True
generated_identical,174,6.293418,0.021585,4,True
generated_identical,175,6.317162,0.023744,4,True
generated_identical,176,6.34328,0.026118,4,True
generated_identical,177,6.37201,0.02873,4,True
generated_identical,178,6.403612,0.031603,4,True
generated_identical,179,6.420994,0.017382,4,True
generated_identical,180,6.440114,0.01912,4,True
generated_identical,181,6.461145,0.021032,4,True
generated_identical,182,6.48428,0.023135,4,True
generated_identical,183,6.509728,0.025448,4,True
generated_identical,184,6.537722,0.027993,4,True
generated_identical,185,6.553118,0.015396,4,True
generated_identical,186,6.570054,0.016936,4,True
generated_identical,187,6.588683,0.018629,4,True
generated_identical,188,6.609175,0.020492,4,True
generated_identical,189,6.631717,0.022542,4,True
generated_identical,190,6.656513,0.024796,4,True
generated_identical,191,6.67015,0.013638,4,True
generated_identical,192,6.685152,0.015001,4,True
generated_identical,193,6.701653,0.016502,4,True
generated_identical,194,6.719805,0.018152,4,True
generated_identical,195,6.739772,0.019967,4,True
generated_identical,196,6.761736,0.021964,4,True
generated_identical,197,6.785896,0.02416,4,True
generated_identical,198,6.799184,0.013288,4,True
generated_identical,199,6.8138,0.014617,4,True
generated_identical,200,6.829879,0.016078,4,True
generated_identical,201,6.847565,0.017686,4,True
generated_identical,202,6.86702,0.019455,4,True
generated_identical,203,6.888421,0.0214,4,True
generated_identical,204,6.911961,0.02354,4,True
generated_identical,205,6.937856,0.025895,4,True
generated_identical,206,6.96634,0.028484,4,True
generated_identical,207,6.982006,0.015666,4,True
generated_identical,208,6.999239,0.017233,4,True
generated_identical,209,7.018195,0.018956,4,True
generated_identical,210,7.039046,0.020852,4,True
generated_identical,211,7.061983,0.022937,4,True
generated_identical,212,7.087214,0.025231,4,True
generated_identical,213,7.114967,0.027754,4,True
generated_identical,214,7.145496,0.030529,4,True
generated_identical,215,7.179078,0.033582,4,True
generated_identical,216,7.216018,0.03694,4,True
generated_identical,217,7.256652,0.040634,4,True
generated_identical,218,7.30135,0.044697,4,True
generated_identical,219,7.350517,0.049167,4,True
generated_identical,220,7.377559,0.027042,4,True
generated_identical,221,7.407305,0.029746,4,True
generated_identical,222,7.440026,0.032721,4,True
generated_identical,223,7.476019,0.035993,4,True
generated_identical,224,7.515611,0.039592,4,True
generated_identical,225,7.559162,0.043551,4,True
generated_identical,226,7.607069,0.047906,4,True
generated_identical,227,7.659766,0.052697,4,True
generated_identical,228,7.717733,0.057967,4,True
generated_identical,229,7.781496,0.063764,4,True
generated_identical,230,7.851636,0.07014,4,True
generated_identical,231,7.890213,0.038577,4,True
generated_identical,232,7.932648,0.042435,4,True
generated_identical,233,7.979326,0.046678,4,True
generated_identical,234,8.030672,0.051346,4,True
generated_identical,235,8.087152,0.05648,4,True
generated_identical,236,8.149281,0.062129,4,True
generated_identical,237,8.217622,0.068341,4,True
generated_identical,238,8.292798,0.075176,4,True
generated_identical,239,8.334144,0.041347,4,True
generated_identical,240,8.379625,0.045481,4,True
generated_identical,241,8.429655,0.050029,4,True
generated_identical,242,8.484687,0.055032,4,True
generated_identical,243,8.545222,0.060535,4,True
generated_identical,244,8.611811,0.066589,4,True
generated_identical,245,8.685059,0.073248,4,True
generated_identical,246,8.725346,0.040286,4,True
generated_identical,247,8.769661,0.044315,4,True
generated_identical,248,8.818407,0.048746,4,True
generated_identical,249,8.872028,0.053621,4,True
generated_identical,250,8.931012,0.058983,4,True
generated_identical,251,8.995893,0.064882,4,True
generated_identical,252,9.031578,0.035685,4,True
generated_identical,253,9.070831,0.039253,4,True
generated_identical,254,9.11401,0.043179,4,True
generated_identical,255,9.161507,0.047497,4,True
generated_identical,256,9.213753,0.052246,4,True
generated_identical,257,9.242488,0.028735,4,True
generated_identical,258,9.274097,0.031609,4,True
generated_identical,259,9.308867,0.03477,4,True
generated_identical,260,9.347114,0.038247,4,True
generated_identical,261,9.389185,0.042072,4,True
generated_identical,262,9.435464,0.046279,4,True
generated_identical,263,9.460917,0.025453,4,True
generated_identical,264,9.488916,0.027999,4,True
generated_identical,265,9.519715,0.030798,4,True
generated_identical,266,9.553593,0.033878,4,True
generated_identical,267,9.590859,0.037266,4,True
generated_identical,268,9.611355,0.020496,4,True
generated_identical,269,9.633901,0.022546,4,True
generated_identical,270,9.658702,0.024801,4,True
generated_identical,271,9.685983,0.027281,4,True
generated_identical,272,9.700987,0.015004,4,True
generated_identical,273,9.717492,0.016505,4,True
generated_identical,274,9.735647,0.018155,4,True
generated_identical,275,9.755618,0.019971,4,True
generated_identical,276,9.777586,0.021968,4,True
generated_identical,277,9.801751,0.024165,4,True
generated_identical,278,9.815041,0.013291,4,True
generated_identical,279,9.829661,0.01462,4,True
generated_identical,280,9.845742,0.016082,4,True
generated_identical,281,9.863432,0.01769,4,True
generated_identical,282,9.882891,0.019459,4,True
generated_identical,283,9.904295,0.021405,4,True
generated_identical,284,9.916068,0.011773,4,True
generated_identical,285,9.929018,0.01295,4,True
generated_identical,286,9.943263,0.014245,4,True
generated_identical,287,9.958932,0.015669,4,True
generated_identical,288,9.976168,0.017236,4,True
generated_identical,289,9.995128,0.01896,4,True
generated_identical,290,10.0,0.004872,4,True
repaired_generic_identical,1,0.0125,0.0125,4,True
repaired_generic_identical,2,0.02625,0.01375,4,True
repaired_generic_identical,3,0.041375,0.015125,4,True
repaired_generic_identical,4,0.058013,0.016638,4,True
repaired_generic_identical,5,0.076314,0.018301,4,True
repaired_generic_identical,6,0.096445,0.020131,4,True
repaired_generic_identical,7,0.107517,0.011072,4,True
repaired_generic_identical,8,0.119697,0.012179,4,True
repaired_generic_identical,9,0.133094,0.013397,4,True
repaired_generic_identical,10,0.147831,0.014737,4,True
repaired_generic_identical,11,0.164042,0.016211,4,True
repaired_generic_identical,12,0.181874,0.017832,4,True
repaired_generic_identical,13,0.191682,0.009808,4,True
repaired_generic_identical,14,0.20247,0.010788,4,True
repaired_generic_identical,15,0.214337,0.011867,4,True
repaired_generic_identical,16,0.227391,0.013054,4,True
repaired_generic_identical,17,0.241751,0.014359,4,True
repaired_generic_identical,18,0.257546,0.015795,4,True
repaired_generic_identical,19,0.274921,0.017375,4,True
repaired_generic_identical,20,0.294033,0.019112,4,True
repaired_generic_identical,21,0.304545,0.010512,4,True
repaired_generic_identical,22,0.316107,0.011563,4,True
repaired_generic_identical,23,0.328827,0.012719,4,True
repaired_generic_identical,24,0.342818,0.013991,4,True
repaired_generic_identical,25,0.358208,0.01539,4,True
repaired_generic_identical,26,0.375137,0.016929,4,True
repaired_generic_identical,27,0.393759,0.018622,4,True
repaired_generic_identical,28,0.414244,0.020484,4,True
repaired_generic_identical,29,0.436776,0.022533,4,True
repaired_generic_identical,30,0.44917,0.012393,4,True
repaired_generic_identical,31,0.462802,0.013632,4,True
repaired_generic_identical,32,0.477797,0.014996,4,True
repaired_generic_identical,33,0.494293,0.016495,4,True
repaired_generic_identical,34,0.512437,0.018145,4,True
repaired_generic_identical,35,0.532396,0.019959,4,True
repaired_generic_identical,36,0.554351,0.021955,4,True
repaired_generic_identical,37,0.578502,0.024151,4,True
repaired_generic_identical,38,0.605067,0.026566,4,True
repaired_generic_identical,39,0.63429,0.029222,4,True
repaired_generic_identical,40,0.666434,0.032144,4,True
repaired_generic_identical,41,0.701793,0.035359,4,True
repaired_generic_identical,42,0.72124,0.019447,4,True
repaired_generic_identical,43,0.742632,0.021392,4,True
repaired_generic_identical,44,0.766163,0.023531,4,True
repaired_generic_identical,45,0.792048,0.025884,4,True
repaired_generic_identical,46,0.820521,0.028473,4,True
repaired_generic_identical,47,0.851841,0.03132,4,True
repaired_generic_identical,48,0.886293,0.034452,4,True
repaired_generic_identical,49,0.92419,0.037897,4,True
repaired_generic_identical,50,0.965877,0.041687,4,True
repaired_generic_identical,51,1.011733,0.045856,4,True
repaired_generic_identical,52,1.062175,0.050441,4,True
repaired_generic_identical,53,1.11766,0.055486,4,True
repaired_generic_identical,54,1.178694,0.061034,4,True
repaired_generic_identical,55,1.212263,0.033569,4,True
repaired_generic_identical,56,1.249189,0.036926,4,True
repaired_generic_identical,57,1.289807,0.040618,4,True
repaired_generic_identical,58,1.334487,0.04468,4,True
repaired_generic_identical,59,1.383635,0.049148,4,True
repaired_generic_identical,60,1.437698,0.054063,4,True
repaired_generic_identical,61,1.497167,0.059469,4,True
repaired_generic_identical,62,1.562583,0.065416,4,True
repaired_generic_identical,63,1.63454,0.071958,4,True
repaired_generic_identical,64,1.713693,0.079153,4,True
repaired_generic_identical,65,1.757228,0.043534,4,True
repaired_generic_identical,66,1.805116,0.047888,4,True
repaired_generic_identical,67,1.857792,0.052677,4,True
repaired_generic_identical,68,1.915736,0.057944,4,True
repaired_generic_identical,69,1.979475,0.063739,4,True
repaired_generic_identical,70,2.049587,0.070112,4,True
repaired_generic_identical,71,2.126711,0.077124,4,True
repaired_generic_identical,72,2.211547,0.084836,4,True
repaired_generic_identical,73,2.258207,0.04666,4,True
repaired_generic_identical,74,2.309533,0.051326,4,True
repaired_generic_identical,75,2.365991,0.056458,4,True
repaired_generic_identical,76,2.428096,0.062104,4,True
repaired_generic_identical,77,2.49641,0.068315,4,True
repaired_generic_identical,78,2.533983,0.037573,4,True
repaired_generic_identical,79,2.575314,0.04133,4,True
repaired_generic_identical,80,2.620777,0.045463,4,True
repaired_generic_identical,81,2.670787,0.05001,4,True
repaired_generic_identical,82,2.725798,0.055011,4,True
repaired_generic_identical,83,2.756054,0.030256,4,True
repaired_generic_identical,84,2.789335,0.033282,4,True
repaired_generic_identical,85,2.825945,0.03661,4,True
repaired_generic_identical,86,2.866215,0.040271,4,True
repaired_generic_identical,87,2.910513,0.044298,4,True
repaired_generic_identical,88,2.934877,0.024364,4,True
repaired_generic_identical,89,2.961677,0.0268,4,True
repaired_generic_identical,90,2.991157,0.02948,4,True
