run,group,repeat,plant,mode,data_origin,source_sha,purpose,setup_seconds,solve_seconds,export_seconds,whole_process_seconds,peak_rss_bytes,accepted,rejected,actual_h_sum
brusselator_middle_pair3_optimized,brusselator_middle,3,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.045416628010571,25.55215734289959,1.0274418205954134,28.762334695085883,461631488,20,0,28823037615171175/72057594037927936
vdp_early_pair1_reference,vdp_early,1,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.00784872006624937,12.47231338918209,0.34894912876188755,14.987573756836355,461692928,20,0,28823037615171175/144115188075855872
vdp_early_pair1_optimized,vdp_early,1,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.0077819619327783585,12.339709469582886,0.34357909532263875,15.008273772895336,461496320,20,0,28823037615171175/144115188075855872
vdp_early_pair2_optimized,vdp_early,2,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.0077538569457829,12.30159693909809,0.3429864775389433,14.819271110929549,461553664,20,0,28823037615171175/144115188075855872
vdp_early_pair2_reference,vdp_early,2,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.007770918775349855,12.651415198575705,0.3508079801686108,15.157968806102872,461262848,20,0,28823037615171175/144115188075855872
vdp_early_pair3_reference,vdp_early,3,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.007789821829646826,12.68616666086018,0.3582251281477511,15.396037195809186,461709312,20,0,28823037615171175/144115188075855872
vdp_early_pair3_optimized,vdp_early,3,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.007641231641173363,12.35338532505557,0.34551931265741587,14.862371638882905,461987840,20,0,28823037615171175/144115188075855872
vdp_boundary_pair1_reference,vdp_boundary,1,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.0411696913652122,13.838731276337057,0.4354520086199045,16.48397207260132,463065088,20,0,28823037615171175/144115188075855872
vdp_boundary_pair1_optimized,vdp_boundary,1,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.040151285007596016,13.79503161367029,0.4338299846276641,16.409324479755014,463257600,20,0,28823037615171175/144115188075855872
vdp_boundary_pair2_optimized,vdp_boundary,2,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.04247320769354701,13.715761432424188,0.4343697498552501,16.50475854612887,463355904,20,0,28823037615171175/144115188075855872
vdp_boundary_pair2_reference,vdp_boundary,2,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.04051268380135298,13.858299225568771,0.4464690648019314,16.686690497677773,463523840,20,0,28823037615171175/144115188075855872
vdp_boundary_pair3_reference,vdp_boundary,3,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.039981847163289785,13.497292200569063,0.4303634171374142,16.121945603284985,463474688,20,0,28823037615171175/144115188075855872
vdp_boundary_pair3_optimized,vdp_boundary,3,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.041373052168637514,13.951895804610103,0.4392301277257502,16.573135124053806,463101952,20,0,28823037615171175/144115188075855872
brusselator_prefix100_pair1_reference,brusselator_prefix100,1,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007973855827003717,191.15748037816957,4.616697520017624,198.17925903201103,460152832,100,0,144115188075855875/72057594037927936
brusselator_prefix100_pair1_optimized,brusselator_prefix100,1,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007723510731011629,142.738945777528,4.651897647883743,149.57659623399377,462102528,100,0,144115188075855875/72057594037927936
brusselator_prefix100_pair2_optimized,brusselator_prefix100,2,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007543750107288361,142.987089951057,4.697549562435597,149.8667898089625,461410304,100,0,144115188075855875/72057594037927936
brusselator_prefix100_pair2_reference,brusselator_prefix100,2,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007560048718005419,190.5160371735692,4.615511768031865,197.32126521784812,460447744,100,0,144115188075855875/72057594037927936
brusselator_prefix100_pair3_reference,brusselator_prefix100,3,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007527402602136135,189.150265770033,4.602522822096944,195.92289767879993,461131776,100,0,144115188075855875/72057594037927936
brusselator_prefix100_pair3_optimized,brusselator_prefix100,3,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.0076616560108959675,143.90004389174283,4.741266229655594,150.8171053598635,461570048,100,0,144115188075855875/72057594037927936
van_der_pol_prefix100_pair1_reference,van_der_pol_prefix100,1,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007486667949706316,67.2133295708336,2.074380833655596,71.46252797730267,462995456,100,0,144115188075855875/144115188075855872
van_der_pol_prefix100_pair1_optimized,van_der_pol_prefix100,1,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007599281147122383,68.32931315759197,2.1084814704954624,72.60288180224597,463171584,100,0,144115188075855875/144115188075855872
van_der_pol_prefix100_pair2_optimized,van_der_pol_prefix100,2,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007720614783465862,68.79641210194677,2.1069162995554507,73.09628147166222,463368192,100,0,144115188075855875/144115188075855872
van_der_pol_prefix100_pair2_reference,van_der_pol_prefix100,2,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.00786024471744895,67.84159556310624,2.093887960072607,72.10283919610083,463302656,100,0,144115188075855875/144115188075855872
van_der_pol_prefix100_pair3_reference,van_der_pol_prefix100,3,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007572879083454609,68.43908022530377,2.1098119164817035,72.71306093363091,463056896,100,0,144115188075855875/144115188075855872
van_der_pol_prefix100_pair3_optimized,van_der_pol_prefix100,3,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,matched_100_step_prefix,0.007651612162590027,67.35631027864292,2.066458225250244,71.61210794514045,463413248,100,0,144115188075855875/144115188075855872
brusselator_full_reference,brusselator_full,1,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,fresh_fixed_1000,0.007506442256271839,1991.9435554370284,90.68284394219518,2087.20151814213,482635776,1000,0,720575940379279375/36028797018963968
brusselator_late_pair1_reference,brusselator_late,1,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.30833340529352427,41.866653223056346,2.861950653139502,47.44665419589728,481685504,20,0,28823037615171175/72057594037927936
brusselator_late_pair1_optimized,brusselator_late,1,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.3078807299025357,31.278837439138442,2.9596603820100427,36.76870377222076,481472512,20,0,28823037615171175/72057594037927936
brusselator_late_pair2_optimized,brusselator_late,2,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.3031372232362628,30.628850813489407,2.9185963454656303,36.06476013828069,481644544,20,0,28823037615171175/72057594037927936
brusselator_late_pair2_reference,brusselator_late,2,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.30284906504675746,41.652751062531024,2.8880478157661855,47.25523177580908,481824768,20,0,28823037615171175/72057594037927936
brusselator_late_pair3_reference,brusselator_late,3,brusselator,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.3123274608515203,41.739447332918644,2.9276532945223153,47.19663335708901,482017280,20,0,28823037615171175/72057594037927936
brusselator_late_pair3_optimized,brusselator_late,3,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,representative_20_step_pair,0.31788127589970827,31.78469218313694,2.9493351792916656,37.43348165694624,481566720,20,0,28823037615171175/72057594037927936
brusselator_full_optimized,brusselator_full,1,brusselator,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,fresh_fixed_1000,0.007656326051801443,1454.6610955600627,93.26244529895484,1552.6585397748277,481824768,1000,0,720575940379279375/36028797018963968
vdp_full_reference,vdp_full,1,van_der_pol,reference,FRESH_REPAIRED_REFERENCE,1551ab57aef7324f91882beeba9d368f36b3cdd5,fresh_fixed_1000,0.008455405943095684,711.3774532219395,21.209890367928892,735.0037558688782,466337792,1000,0,720575940379279375/72057594037927936
vdp_full_optimized,vdp_full,1,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,fresh_fixed_1000,0.00745671009644866,693.6573464274406,20.886315282899886,716.9708978109993,466374656,1000,0,720575940379279375/72057594037927936
vdp_adaptive_optimized,vdp_adaptive,1,van_der_pol,optimized,FRESH_OPTIMIZED,1551ab57aef7324f91882beeba9d368f36b3cdd5,fresh_adaptive_equivalence_no_speed_claim,0.007788666058331728,179.55228186072782,4.9511315962299705,186.72861574031413,463814656,246,35,5764607523034236731/576460752303423488
