branch_name,tip_sha,tip_date,merge_base_with_main,ahead_of_main,behind_main,unique_commit_count,tree_hash,changed_top_level_paths,contains_core_changes,contains_test_changes,contains_experiment_changes,contains_artifacts_only,contains_order2_debug,contains_flowstar_patch_assumptions,largest_tracked_file_bytes,checked_out_worktree,dirty_worktree,classification,recommended_action,evidence
codex/torch-flowstar-diffreach-deep-study,9a684d9106633e067bfac0747244b769fa49aa0b,2026-07-30T04:56:10Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,95,0,95,8fe3016b6383576e983747236722f3c828b9718e,.gitignore;README.md;docs;experiments;outputs;scripts;src;tests,true,true,true,false,true,true,50960494,/srv/local/shengenli/torch_tm_flowpipe_three_tool_study,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=9a684d9106633e067bfac0747244b769fa49aa0b; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=95; behind=0; tree=8fe3016b6383576e983747236722f3c828b9718e; paths=.gitignore;README.md;docs;experiments;outputs;scripts;src;tests
main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,2026-06-05T16:59:30Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,0,0,8bb47140f23c1aca159868a66256a91b75dcb03c,,false,false,false,false,true,false,9550732,,false,protected_or_default,retain unchanged; never merge or update in this task,tip=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=0; behind=0; tree=8bb47140f23c1aca159868a66256a91b75dcb03c; paths=
origin/codex/batched-dense-nncs-gpu,6b2c78c86e6b5baf0e26c10438150535ff79a098,2026-06-09T12:05:18Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,33,0,33,3b9df5754ff19fda48bbae6fe3fe911d34bd7339,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,abandoned_prototype,retain as history; do not migrate explicitly out-of-scope BERN/NNCS work,tip=6b2c78c86e6b5baf0e26c10438150535ff79a098; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=33; behind=0; tree=3b9df5754ff19fda48bbae6fe3fe911d34bd7339; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/first-order-followup-correctness-matched-basis,3d0ae5444435974e7509e176129fb796c76312ab,2026-07-24T05:31:39Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,54,0,54,38f48af854763529bc110df2c4d9c7a7672a95e9,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,25737264,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=3d0ae5444435974e7509e176129fb796c76312ab; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=54; behind=0; tree=38f48af854763529bc110df2c4d9c7a7672a95e9; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/first-order-three-way-benchmark,13e5eece2002e009429d6fb463eed4bc1c53ae34,2026-07-23T18:14:16Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,45,0,45,ed02a3c50fe062684f0c690c8a1889a9f1a90399,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=13e5eece2002e009429d6fb463eed4bc1c53ae34; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=45; behind=0; tree=ed02a3c50fe062684f0c690c8a1889a9f1a90399; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/flowstar-kernel-alignment,54704e8f695802e373e2371fb0befed3b60ff3b5,2026-06-06T03:58:13Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,2,0,2,c2e8a696ed7e6ac9211e44f95b3cc4d23ccb7152,.gitignore;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=54704e8f695802e373e2371fb0befed3b60ff3b5; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=2; behind=0; tree=c2e8a696ed7e6ac9211e44f95b3cc4d23ccb7152; paths=.gitignore;docs;experiments;outputs;src;tests
origin/codex/flowstar-normalized-insertion,3bd72cac3aa993418fa0aa0e37da4367d5d7364f,2026-06-09T09:18:58Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,30,0,30,3308d72c5449eb2c2c9a5085c24fe97cdfef0407,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=3bd72cac3aa993418fa0aa0e37da4367d5d7364f; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=30; behind=0; tree=3308d72c5449eb2c2c9a5085c24fe97cdfef0407; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/flowstar-raw-remainder-compat,26a254ef585a9dee394b7e41922c06bf8799f501,2026-06-20T13:21:37Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,40,0,40,92257d596a79d2b7599794a268b110cecc164266,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,9550732,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=26a254ef585a9dee394b7e41922c06bf8799f501; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=40; behind=0; tree=92257d596a79d2b7599794a268b110cecc164266; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/repository-consolidation-v1,08b6f2416122cbf4220ff351e663caa1a0af13a2,2026-07-31T01:09:09+08:00,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,116,0,116,1cf0fbd7f08173bf7363f0f80bb95a57cc48bc2b,.DS_Store;.gitignore;README.md;analysis;artifacts;audits;benchmarks;docs;experiments;outputs;pyproject.toml;scripts;src;tests,true,true,true,false,true,true,72039158,,false,canonical_candidate,select only after provenance and claim withdrawal repairs are specified,tip=08b6f2416122cbf4220ff351e663caa1a0af13a2; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=116; behind=0; tree=1cf0fbd7f08173bf7363f0f80bb95a57cc48bc2b; paths=.DS_Store;.gitignore;README.md;analysis;artifacts;audits;benchmarks;docs;experiments;outputs;pyproject.toml;scripts;src;tests
origin/codex/three-way-common-contract-comparison,7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10,2026-07-24T13:32:25Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,56,0,56,3d670787b3036172d59417ce946778a3a86a2dab,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,false,25737264,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=7251adfe8d2f3a5f3fd7a4a89f4b5a2075a19b10; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=56; behind=0; tree=3d670787b3036172d59417ce946778a3a86a2dab; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/three-way-comparison-correctness-repair,9024a8a29bdc0ad668a7c0620bd53872f4313cc8,2026-07-28T14:38:31Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,64,0,64,aaafbc0c201760b0925a995d07043ede8d89d226,.gitignore;README.md;docs;experiments;outputs;src;tests,true,true,true,false,true,true,25737264,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=9024a8a29bdc0ad668a7c0620bd53872f4313cc8; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=64; behind=0; tree=aaafbc0c201760b0925a995d07043ede8d89d226; paths=.gitignore;README.md;docs;experiments;outputs;src;tests
origin/codex/torch-flowstar-diffreach-deep-study,9a684d9106633e067bfac0747244b769fa49aa0b,2026-07-30T04:56:10Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,95,0,95,8fe3016b6383576e983747236722f3c828b9718e,.gitignore;README.md;docs;experiments;outputs;scripts;src;tests,true,true,true,false,true,true,50960494,,false,scientifically_relevant_history,retain as provenance; active behavior is subsumed by the consolidation candidate,tip=9a684d9106633e067bfac0747244b769fa49aa0b; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=95; behind=0; tree=8fe3016b6383576e983747236722f3c828b9718e; paths=.gitignore;README.md;docs;experiments;outputs;scripts;src;tests
origin/main,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,2026-06-05T16:59:30Z,b2f34f5b2077e34662a2559d8c09b1d264bd7d98,0,0,0,8bb47140f23c1aca159868a66256a91b75dcb03c,,false,false,false,false,true,false,9550732,,false,protected_or_default,retain unchanged; never merge or update in this task,tip=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; merge_base=b2f34f5b2077e34662a2559d8c09b1d264bd7d98; ahead=0; behind=0; tree=8bb47140f23c1aca159868a66256a91b75dcb03c; paths=
origin/master,93e623e3ec2c8f71a305dfa5e94f47bfc0c3498d,2026-05-29T15:42:07Z,none,1,27,1,3755a10494243d5526dbbfec7dc60809786fcf69,.DS_Store;.gitignore;README.md;comparisons;docs;examples;experiments;pyproject.toml;scripts;src;tests,true,true,true,false,false,false,25559,,false,superseded_patch_equivalent,retain; its sole root patch is stable-patch-equivalent to ee53187387b98a5246055242062b14dd8e00d1fe,tip=93e623e3ec2c8f71a305dfa5e94f47bfc0c3498d; merge_base=none; ahead=1; behind=27; tree=3755a10494243d5526dbbfec7dc60809786fcf69; paths=.DS_Store;.gitignore;README.md;comparisons;docs;examples;experiments;pyproject.toml;scripts;src;tests
