path,purpose,source_or_generated,active_or_legacy,entrypoint_or_library,imports_or_callers,tests,artifact_inputs,artifact_outputs,replacement,classification,recommended_action,size_bytes,sha256
artifacts/runs/20260730T153654Z/RAW_OBSERVATIONS.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,112393,d38296024ecea6cce0fc742d3e477f9799340e74232bd5c5bf23d853ca8a7587
artifacts/runs/20260730T153654Z/REPORT.md,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,677,86e3ba39b63737440c530c018762773784db8e69eda7ac76be9f9f782923e35e
artifacts/runs/20260730T153654Z/RUN_MANIFEST.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,3679,01d41dfa6c63459ef45899a0e17fc5f2fbf6a4f821b1ad25bdb91e6609fb3136
artifacts/runs/20260730T153654Z/SHA256SUMS,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,8283,3479802909abc5e043f6b9485bdbfe2db325f957cf03f9237ba9887a8babbde4
artifacts/runs/20260730T153654Z/SUMMARY.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,15808,bef02520cee4082aa7ddecac766d1ecd89c788826a019fa5eedbe28d0a51b3ea
artifacts/runs/20260730T153654Z/acceleration_diffreach.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,6560,9151ae66a0d0e801fce639d39afb316dafc60beea8dd082bb047ffa334ea61d5
artifacts/runs/20260730T153654Z/acceleration_flowstar.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,6270,7b91c9c25c6daaf23d91917d9978228a1653ac2a02189ef83807c83f3d2c0b47
artifacts/runs/20260730T153654Z/acceleration_summary.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1473,d330be74fa860eb9635db3733e212f9f5c74cd88c1e68fd39a262661af8e4714
artifacts/runs/20260730T153654Z/acceleration_torch.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,6644,bdbb609f402d827b14536c7c8e0614c3a3462d5c7a4c75e58b5ba3de62eaaa05
artifacts/runs/20260730T153654Z/figures/width_runtime.png,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,48527,f61ca502acdde012fc24c40d04355f271e6ea020b5f930702c259e1073002af9
artifacts/runs/20260730T153654Z/final_acceptance.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,8793,c5e2568e3d68cc642a105b5c7a6183c03722fbf5e557eefa1283d4d3d8130b28
artifacts/runs/20260730T153654Z/logs/collect.log,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,778,058840a8d5e2a489a9620024cc77af689039b24bff89f9005cf3bdfeca434930
artifacts/runs/20260730T153654Z/logs/diffreach.log,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,599,bc15a54521a19e108c94494af5a0ab1ea4694fdfbcab94fb7d818b60dc1da795
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/compile.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/compile.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/repair.cpp,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,4102,5d0b7752a6465e73e8b6f4ba1ce809aef81452e227d018de954ac5ff78a07e1f
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/run.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.005_T0.25_o4_r0.0001_c1e-15_p53/run.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,496773,df86dc4f93cadea8bea66709bb55c99a4fbdbdacc4558a7522773befafbe3eff
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/compile.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/compile.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/repair.cpp,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,4068,984eb4058ded0a0b803a3e39c5fe037930f91a2ada9f29ddd54e62f16d247012
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/run.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_coupled_quadratic_h0.01_T0.25_o4_r0.0001_c1e-15_p53/run.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,246755,fa71030efdde0c68cc1add2eff23e8b3fd7fa2a97da018eb637f7a5c7aa7affd
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/compile.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/compile.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/repair.cpp,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,4085,80a49c1483749fc89e7c3c7eea67715c4b06255421fb67942652d4330ad41c47
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/run.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_harmonic_h0.01_T4_o4_r0.001_c1e-15_p53/run.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,72039158,ed40b4913cdb573bc98958f2fac98ecf4e71e32923db94835850d6a99c9a82fd
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/compile.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/compile.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/repair.cpp,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,3938,57c4256822925257f7a5625c0035b56ba1328eb57cb3495bdcdf9b86ddd7f30b
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/run.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/run.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,463598,fc49929befee514b22a7584ca4c84717e8b4125018c87f1cb09a598477fd34ee
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/compile.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/compile.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/repair.cpp,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,4167,1170b677477aa809970500f22d53ef29306ef2ae758a3469ac0832b2e4bc950f
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/run.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.005_T1_o4_r0.01_c1e-15_p53/run.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,2296687,120ca339b59e222ecfda69d917045e5e344644b8d2968b8a4b12541b74dc5894
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/compile.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/compile.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/repair.cpp,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,4133,f771b995a7bae039cf1798766df49722470c1b3abdc5b4e44f17d7b0ed707c10
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/run.stderr.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
artifacts/runs/20260730T153654Z/logs/flowstar/root_cause_order4_selected_native_representation_van_der_pol_h0.01_T1_o4_r0.01_c1e-15_p53/run.stdout.txt,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1209481,658dd91d9aa19f94936ef87c46be331c41f6eb2500f6f824b7ae637951bfc80a
artifacts/runs/20260730T153654Z/logs/flowstar.log,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,559,88dde65e7c471ceaf67b7e3325090432a1bdc501569a7aeb4dadc895e4304b60
artifacts/runs/20260730T153654Z/logs/torch.log,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,557,d13ceeb8393c16030d30f0c3ad1bb55a3a4be1efb255790cd5e7e2835722746d
artifacts/runs/20260730T153654Z/native_pareto_excluded.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
artifacts/runs/20260730T153654Z/native_pareto_exploratory.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
artifacts/runs/20260730T153654Z/native_pareto_summary.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,16321,4cbfa10e4cf7545abe562ed197595434de68f800594ab49f6d0fe7403cc0edb1
artifacts/runs/20260730T153654Z/pareto_checks.json,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,285,16210feef2aef68213f4a1f9fe65b6b149f676b30016dbb37ba897434ff02473
artifacts/runs/20260730T153654Z/pareto_repetitions_diffreach.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,28046,547fe6674b7ac3b18903e7b6cfe3789d074e17a6aa784031606aa124f0049ee0
artifacts/runs/20260730T153654Z/pareto_repetitions_flowstar.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,27406,ffd8e9ddb39f3b6dae7959a054c540128cae44e2e89ed4b3700b29a399123cde
artifacts/runs/20260730T153654Z/pareto_repetitions_torch.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,55741,c3525311d683e60d143e7a65128963ff20fff16b36243ca4fb9dd40376e4e2e0
artifacts/runs/20260730T153654Z/runtime_summary.csv,versioned repository path; see architecture/history registry,generated,active,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,withdrawn_do_not_cite,retain frozen; exclude from current claims,15808,bef02520cee4082aa7ddecac766d1ecd89c788826a019fa5eedbe28d0a51b3ea
audits/repository_consolidation/20260730T083258Z/00_start_state/00_start_state.md,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,2038,6466f92f6c5058d3f3c86653ca3b2fd50c9343390d626644b12b46f7955f237a
audits/repository_consolidation/20260730T083258Z/00_start_state/baseline_tests.log,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,34801,b97c2440e10adf667436bcb825bf257e8bdbb205d9b2d08973cb5b2b709533b7
audits/repository_consolidation/20260730T083258Z/00_start_state/baseline_tests_unsandboxed.log,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,590,1d286790a10861b67b831a246cf4e40dc94e94137f40f6d66bd633530bbc7d05
audits/repository_consolidation/20260730T083258Z/00_start_state/environment.json,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,3833,a9b1ec797be1985837996a4875593e37fe98088ee15b48ae73700da5c209e102
audits/repository_consolidation/20260730T083258Z/00_start_state/environment_raw.txt,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,2366,2582f3f100d651e598d88953c58be7a3325ef2f2db5d2814aa93bf157b7586ce
audits/repository_consolidation/20260730T083258Z/00_start_state/external_DiffReach.txt,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,85,acb00df66c2273ff6d47eabdfd8f73fa91e4a093eff1ea6ab2f518dce07b4324
audits/repository_consolidation/20260730T083258Z/00_start_state/external_flowstar.txt,versioned repository path; see architecture/history registry,generated,legacy,library_or_evidence,not_applicable,self_or_not_applicable,explicit paths only,none_known,docs/history or current registries,historical_provenance,retain,84,621e127add536c4813a9f74d091925dddc43786b7ab6af4cf6324e60f4d476b3
