plant,mode,B,device,measurement,measured,solve_seconds,export_seconds,repeats,source,throughput_tasks_per_second,steps_per_second,requested_task_completed,failure_count,reason,process_seconds,peak_rss_bytes
brusselator,our_cpu_reference,32,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
brusselator,native_flowstar,32,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
van_der_pol,our_cpu_reference,1,cpu,complete_first_solve_in_fresh_process,True,681.2492698188871,13.37419575219974,1,raw_minimal/our_vdp_full/summary.json,0.0014678914815803826,1.4678914815803825,True,0,One observed run; no warm-repeat median or variance claim.,,
van_der_pol,our_cpu_reference,1,cpu,fresh_process_including_export,True,,13.37419575219974,1,raw_minimal/our_vdp_full/process_time.txt,,,,,,697.03,498536448
van_der_pol,native_flowstar,1,cpu,complete_first_solve_in_fresh_process,True,1.4884663539999998,2.892356023,1,raw_minimal/native_vdp/summary.json,0.6718324517800959,671.8324517800959,True,0,One observed run; no warm-repeat median or variance claim.,,
van_der_pol,native_flowstar,1,cpu,fresh_process_including_export,True,,2.892356023,1,raw_minimal/native_vdp/process_time.txt,,,,,,4.39,15282176
van_der_pol,xiangru_parity,1,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_parity,1,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_parity,8,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_parity,8,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_parity,32,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_parity,32,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_strict,1,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_strict,1,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_strict,8,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_strict,8,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_strict,32,cuda,warm_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,xiangru_strict,32,cuda,fresh_process_complete_solve,False,,,0,,,,,,Correctness prerequisite failed; no extrapolation from short diagnostics.,,
van_der_pol,our_cpu_reference,8,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
van_der_pol,native_flowstar,8,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
van_der_pol,our_cpu_reference,32,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
van_der_pol,native_flowstar,32,cpu,serial_batch_complete_solve,False,,,0,,,,,,Paired batch speed campaign not opened after correctness gate failure; no estimated speed gate.,,
