plant,step,kind,component,t_end_exact,optimized_lo,optimized_hi,flowstar_lo,flowstar_hi,optimized_over_flowstar_width,data_origin,duration
brusselator,6,endpoint,y,17293822569102705/144115188075855872,2.6588996222700154,2.722107111100991,2.657280352915473,2.723597058145945,0.9531156382288407,REUSED_MATCHED_REFERENCE,0.02
brusselator,6,tube,x,17293822569102705/144115188075855872,1.6497084277421008,1.7793078016632766,1.6516425287243752,1.7774928311405576,1.0297899284548038,REUSED_MATCHED_REFERENCE,0.02
brusselator,6,tube,y,17293822569102705/144115188075855872,2.6554311485546327,2.7825455441356617,2.6572644701909134,2.7805829001897924,1.030781818923453,REUSED_MATCHED_REFERENCE,0.02
brusselator,7,endpoint,x,40352252661239645/288230376151711744,1.731422540512637,1.8279064839538564,1.7339050745984286,1.825565203676864,1.05262718273783,REUSED_MATCHED_REFERENCE,0.02
brusselator,7,endpoint,y,40352252661239645/288230376151711744,2.597818230167927,2.6652531734046936,2.5963474739690793,2.6665682361784757,0.9603277024489889,REUSED_MATCHED_REFERENCE,0.02
brusselator,7,tube,x,40352252661239645/288230376151711744,1.6875771061125548,1.8279450093106462,1.6900721647245522,1.825591204507448,1.035779942235154,REUSED_MATCHED_REFERENCE,0.02
brusselator,7,tube,y,40352252661239645/288230376151711744,2.5939475532051306,2.728083249990641,2.5963251027607774,2.725550007009929,1.0380019050112064,REUSED_MATCHED_REFERENCE,0.02
brusselator,8,endpoint,x,5764607523034235/36028797018963968,1.771203466282321,1.877674232057535,1.7743050441674766,1.8747313323455916,1.0601882007864165,REUSED_MATCHED_REFERENCE,0.02
brusselator,8,endpoint,y,5764607523034235/36028797018963968,2.5349167301435553,2.606528776792389,2.533635243281741,2.6076321717086057,0.9677705300918226,REUSED_MATCHED_REFERENCE,0.02
brusselator,8,tube,x,5764607523034235/36028797018963968,1.7263887420449564,1.877723581961929,1.7295071437961478,1.8747638583839497,1.0418440231587136,REUSED_MATCHED_REFERENCE,0.02
brusselator,8,tube,y,5764607523034235/36028797018963968,2.5306167297875204,2.6716326736265135,2.533605762301009,2.668465549167427,1.045648574090311,REUSED_MATCHED_REFERENCE,0.02
brusselator,9,endpoint,x,51881467707308115/288230376151711744,1.811609380812329,1.9283242705760562,1.8153711256405958,1.924731521768265,1.0672500639762874,REUSED_MATCHED_REFERENCE,0.02
brusselator,9,endpoint,y,51881467707308115/288230376151711744,2.4704206980014676,2.546085192011096,2.4693728658149317,2.54693899954241,0.975483634075005,REUSED_MATCHED_REFERENCE,0.02
brusselator,9,tube,x,51881467707308115/288230376151711744,1.7660288844933276,1.928386390139146,1.7698133729309375,1.924770897722012,1.0477548984131055,REUSED_MATCHED_REFERENCE,0.02
brusselator,9,tube,y,51881467707308115/288230376151711744,2.4656682258704805,2.613297777058535,2.4693358162617356,2.6094361620120576,1.0537415193189499,REUSED_MATCHED_REFERENCE,0.02
brusselator,10,endpoint,x,28823037615171175/144115188075855872,1.8524594000763608,1.979543721146027,1.8569057845481518,1.9752668822801873,1.0737000881605514,REUSED_MATCHED_REFERENCE,0.02
brusselator,10,endpoint,y,28823037615171175/144115188075855872,2.4046067453049536,2.4841142479115095,2.4038296863122883,2.484690620673441,0.9832622295884932,REUSED_MATCHED_REFERENCE,0.02
brusselator,10,tube,x,28823037615171175/144115188075855872,1.8063588329886715,1.9796195831350647,1.8108347619140719,1.9753131998156155,1.0533949152052786,REUSED_MATCHED_REFERENCE,0.02
brusselator,10,tube,y,28823037615171175/144115188075855872,2.39938358926142,2.553219721792028,2.4037848448793433,2.548617779943371,1.0621626390613446,REUSED_MATCHED_REFERENCE,0.02
brusselator,11,endpoint,x,63410682753376585/288230376151711744,1.8935452559152808,2.030964446495267,1.8987120677788174,2.025955184021836,1.0799734762667426,REUSED_MATCHED_REFERENCE,0.02
brusselator,11,endpoint,y,63410682753376585/288230376151711744,2.3378024228308254,2.4208501743388453,2.3373014876384204,2.4211560160084598,0.9903788515933301,REUSED_MATCHED_REFERENCE,0.02
brusselator,11,tube,x,63410682753376585/288230376151711744,1.8472120316113643,2.0310545655199816,1.8524159151392225,2.02600823138223,1.0590476461599894,REUSED_MATCHED_REFERENCE,0.02
brusselator,11,tube,y,63410682753376585/288230376151711744,2.3320997966901613,2.4915767101873567,2.3372489223397617,2.4862324910149662,1.0704329001869133,REUSED_MATCHED_REFERENCE,0.02
brusselator,12,endpoint,x,17293822569102705/72057594037927936,1.9346316371376764,2.082166511158051,1.9405332548714282,2.0763951939178518,1.0859176238457957,REUSED_MATCHED_REFERENCE,0.02
brusselator,12,endpoint,y,17293822569102705/72057594037927936,2.270383501561468,2.356570137567115,2.270190046531893,2.356589324814077,0.9975388419814959,REUSED_MATCHED_REFERENCE,0.02
brusselator,12,tube,x,17293822569102705/72057594037927936,1.8883402160376839,2.082323717513615,1.894286885639166,2.0765073484056864,1.0645538845134124,REUSED_MATCHED_REFERENCE,0.02
brusselator,12,tube,y,17293822569102705/72057594037927936,2.26420333344313,2.4285896745225544,2.270130214625366,2.4224885255577053,1.0789456779448432,REUSED_MATCHED_REFERENCE,0.02
brusselator,13,endpoint,x,74939897799445055/288230376151711744,1.9754535547225498,2.1326891596556474,1.982103707844162,2.1261243872408966,1.0917571392644225,REUSED_MATCHED_REFERENCE,0.02
brusselator,13,endpoint,y,74939897799445055/288230376151711744,2.2027632941750555,2.291598074479049,2.2029183178547393,2.291307596993272,1.0050402172051083,REUSED_MATCHED_REFERENCE,0.02
brusselator,13,tube,x,74939897799445055/288230376151711744,1.9294373209579612,2.1330425766722785,1.9361420585719,2.126423219765201,1.0700231932444468,REUSED_MATCHED_REFERENCE,0.02
brusselator,13,tube,y,74939897799445055/288230376151711744,2.196119506899494,2.364528433340282,2.2028520986484823,2.3576603877852,1.087854709718153,REUSED_MATCHED_REFERENCE,0.02
brusselator,14,endpoint,x,40352252661239645/144115188075855872,2.015368368654712,2.1823930755971475,2.0230960639123317,2.1746852328067785,1.1018248082007522,REUSED_MATCHED_REFERENCE,0.02
brusselator,14,endpoint,y,40352252661239645/144115188075855872,2.131813778846548,2.2298705610756726,2.1320413331500543,2.2295676940920712,1.0054387478624691,REUSED_MATCHED_REFERENCE,0.02
brusselator,14,tube,x,40352252661239645/144115188075855872,1.9699357637215473,2.183025404026117,1.97779726385742,2.1751837563574954,1.079555331297495,REUSED_MATCHED_REFERENCE,0.02
brusselator,14,tube,y,40352252661239645/144115188075855872,2.124048289276168,2.3039653842913412,2.1319700435648974,2.295968317322518,1.0970670049922586,REUSED_MATCHED_REFERENCE,0.02
brusselator,15,endpoint,x,86469112845513525/288230376151711744,2.0543436497736955,2.230487747205669,2.0632171683963914,2.2215475915934624,1.1125094841231498,REUSED_MATCHED_REFERENCE,0.02
brusselator,15,endpoint,y,86469112845513525/288230376151711744,2.0609930126383955,2.168795162031854,2.0612226752847675,2.168572442565416,1.0042140949558584,REUSED_MATCHED_REFERENCE,0.02
brusselator,15,tube,x,86469112845513525/288230376151711744,2.0098883778375995,2.2314160605660835,2.018983873679343,2.2222539277348288,1.0898195691334573,REUSED_MATCHED_REFERENCE,0.02
brusselator,15,tube,y,86469112845513525/288230376151711744,2.051774483450953,2.243953674685407,2.0609540807033038,2.23478102061299,1.1055777161716298,REUSED_MATCHED_REFERENCE,0.02
brusselator,16,endpoint,x,5764607523034235/18014398509481984,2.0921324618484642,2.2763807170908033,2.1021032704181954,2.266236130542223,1.1225555632376798,REUSED_MATCHED_REFERENCE,0.02
brusselator,16,endpoint,y,5764607523034235/18014398509481984,1.9914571630264168,2.108114421928935,1.991678721216327,2.108004329507177,1.0028510541792222,REUSED_MATCHED_REFERENCE,0.02
brusselator,16,tube,x,5764607523034235/18014398509481984,2.049065944129197,2.277612857513396,2.059352350375323,2.2671526732884195,1.0998390675253116,REUSED_MATCHED_REFERENCE,0.02
brusselator,16,tube,y,5764607523034235/18014398509481984,1.9806930734876715,2.1839802263060375,1.9911838636552308,2.17360090190663,1.1144088006637007,REUSED_MATCHED_REFERENCE,0.02
brusselator,17,endpoint,x,97998327891581995/288230376151711744,2.1283361807052876,2.3196405669477036,2.1393611030857445,2.308314976914723,1.1322876587965147,REUSED_MATCHED_REFERENCE,0.02
brusselator,17,endpoint,y,97998327891581995/288230376151711744,1.9237025925891253,2.0482380612979654,1.9238905014066328,2.048287971596153,1.0011093354158207,REUSED_MATCHED_REFERENCE,0.02
brusselator,17,tube,x,97998327891581995/288230376151711744,2.087075214423996,2.3211747189722756,2.0985115138161605,2.3094377519275873,1.1098643139153275,REUSED_MATCHED_REFERENCE,0.02
brusselator,17,tube,y,97998327891581995/288230376151711744,1.9114074345983718,2.12434366393924,1.9231691836067135,2.1128197340465937,1.122782026453278,REUSED_MATCHED_REFERENCE,0.02
brusselator,18,endpoint,x,51881467707308115/144115188075855872,2.162657207559403,2.3597702463228547,2.174703185352075,2.3472797276035653,1.1421774720471882,REUSED_MATCHED_REFERENCE,0.02
brusselator,18,endpoint,y,51881467707308115/144115188075855872,1.85819752935791,1.9895848331438655,1.858359911921085,1.9898061208153976,0.999551869096471,REUSED_MATCHED_REFERENCE,0.02
brusselator,18,tube,x,51881467707308115/144115188075855872,2.123612287173047,2.361593006117843,2.1361632672465785,2.348597485117695,1.1202560554024223,REUSED_MATCHED_REFERENCE,0.02
brusselator,18,tube,y,51881467707308115/144115188075855872,1.844430048309729,2.0654282346041297,1.857419182082184,2.0528227710663827,1.1309832508361541,REUSED_MATCHED_REFERENCE,0.02
brusselator,19,endpoint,x,109527542937650465/288230376151711744,2.194733980667297,2.3964000804544563,2.207829200499719,2.382703040282035,1.1532090794037264,REUSED_MATCHED_REFERENCE,0.02
brusselator,19,endpoint,y,109527542937650465/288230376151711744,1.7953832640437024,1.9325523081723097,1.7956296469604551,1.93285174464846,0.9996133745199094,REUSED_MATCHED_REFERENCE,0.02
brusselator,19,tube,x,109527542937650465/288230376151711744,2.15829511055011,2.3984871392846756,2.171982593324996,2.3841978361697898,1.1318321224938273,REUSED_MATCHED_REFERENCE,0.02
brusselator,19,tube,y,109527542937650465/288230376151711744,1.780239875051436,2.0076175845282527,1.7944837180395923,1.9939195609329996,1.1401045377702912,REUSED_MATCHED_REFERENCE,0.02
brusselator,20,endpoint,x,28823037615171175/72057594037927936,2.2244038227135468,2.4290482686179464,2.2377203796859995,2.4149647929303146,1.1545889777767837,REUSED_MATCHED_REFERENCE,0.02
brusselator,20,endpoint,y,28823037615171175/72057594037927936,1.7357247157568636,1.8774414689266736,1.7361177801714816,1.8777673663060388,1.0004741774196853,REUSED_MATCHED_REFERENCE,0.02
brusselator,20,tube,x,28823037615171175/72057594037927936,2.1909278215401518,2.4313647224215496,2.204912904831934,2.416612720414588,1.1357444984996872,REUSED_MATCHED_REFERENCE,0.02
brusselator,20,tube,y,28823037615171175/72057594037927936,1.7193499765931908,1.9512014393282762,1.734787248172273,1.9364831295431777,1.149510149434964,REUSED_MATCHED_REFERENCE,0.02
brusselator,21,endpoint,x,121056757983718935/288230376151711744,2.2514317993981767,2.457414253111653,2.26470375352544,2.443208120843996,1.1539350930606842,REUSED_MATCHED_REFERENCE,0.02
brusselator,21,endpoint,y,121056757983718935/288230376151711744,1.6796088044299973,1.824534127676171,1.6801688384081437,1.8248717155211978,1.0015372613009341,REUSED_MATCHED_REFERENCE,0.02
brusselator,21,tube,x,121056757983718935/288230376151711744,2.2212294172888702,2.459917163087507,2.23523190511211,2.444980497123875,1.1379706700736674,REUSED_MATCHED_REFERENCE,0.02
brusselator,21,tube,y,121056757983718935/288230376151711744,1.6621907804220188,1.8964662947058204,1.6786796035577016,1.8808750933933105,1.1586584570915737,REUSED_MATCHED_REFERENCE,0.02
brusselator,22,endpoint,x,63410682753376585/144115188075855872,2.275613311688825,2.481290576290273,2.288729166442461,2.467076964549494,1.1532369156473332,REUSED_MATCHED_REFERENCE,0.02
brusselator,22,endpoint,y,63410682753376585/144115188075855872,1.6273071894472564,1.7741134196299952,1.6278373798890173,1.77465925110047,0.9998934693544994,REUSED_MATCHED_REFERENCE,0.02
brusselator,22,tube,x,63410682753376585/144115188075855872,2.2489085848660557,2.4839621087436576,2.262831080503813,2.4689418561187573,1.1404232659661069,REUSED_MATCHED_REFERENCE,0.02
brusselator,22,tube,y,63410682753376585/144115188075855872,1.6090601406838942,1.843725949893742,1.6262192020270236,1.8276429104628487,1.165035690347315,REUSED_MATCHED_REFERENCE,0.02
brusselator,23,endpoint,x,132585973029787405/288230376151711744,2.296672575922956,2.500673298455953,2.3095412366044283,2.48655207994803,1.1524758522109546,REUSED_MATCHED_REFERENCE,0.02
brusselator,23,endpoint,y,132585973029787405/288230376151711744,1.578997900902409,1.7264307090833566,1.5789226636151963,1.7277549568773072,0.9905968990298447,REUSED_MATCHED_REFERENCE,0.02
brusselator,23,tube,x,132585973029787405/288230376151711744,2.2736129605410085,2.503506364915979,2.287390753582021,2.4884760140485156,1.1432633294038779,REUSED_MATCHED_REFERENCE,0.02
brusselator,23,tube,y,132585973029787405/288230376151711744,1.5601518421558835,1.7932783794537677,1.577207506342647,1.777471725773742,1.164094804154948,REUSED_MATCHED_REFERENCE,0.02
brusselator,24,endpoint,x,17293822569102705/36028797018963968,2.314350385579823,2.515675376813931,2.326912227568534,2.501719365840666,1.1516977694623345,REUSED_MATCHED_REFERENCE,0.02
brusselator,24,endpoint,y,17293822569102705/36028797018963968,1.5346747198223505,1.6817924124727037,1.534078175389141,1.683800962926982,0.9826005451118842,REUSED_MATCHED_REFERENCE,0.02
brusselator,24,tube,x,17293822569102705/36028797018963968,2.295058120936351,2.518621448078483,2.308616359337795,2.503669040692485,1.1461689508158943,REUSED_MATCHED_REFERENCE,0.02
brusselator,24,tube,y,17293822569102705/36028797018963968,1.5154275043744994,1.7455266795252027,1.5322984904481498,1.730067699472621,1.1634732033652002,REUSED_MATCHED_REFERENCE,0.02
brusselator,25,endpoint,x,144115188075855875/288230376151711744,2.328785622423592,2.526138612483779,2.3409892410311537,2.512417564406986,1.151227441147622,REUSED_MATCHED_REFERENCE,0.02
brusselator,25,endpoint,y,144115188075855875/288230376151711744,1.4943018898149378,1.6404092187584194,1.4932423604561476,1.6430283054521146,0.9754408462517322,REUSED_MATCHED_REFERENCE,0.02
brusselator,25,tube,x,144115188075855875/288230376151711744,2.313316610177796,2.5291512127775517,2.3265854045653223,2.5143649889207955,1.1494039852126476,REUSED_MATCHED_REFERENCE,0.02
brusselator,25,tube,y,144115188075855875/288230376151711744,1.474775031250514,1.700821338017483,1.4914295643712367,1.6857263622316652,1.1634072679331944,REUSED_MATCHED_REFERENCE,0.02
brusselator,26,endpoint,x,74939897799445055/144115188075855872,2.339967930626322,2.5321733640961797,2.3514034262280665,2.519118633245516,1.1460226945900023,REUSED_MATCHED_REFERENCE,0.02
brusselator,26,endpoint,y,74939897799445055/144115188075855872,1.4580335769217532,1.6021817361923598,1.456593983070251,1.6053095268923132,0.9692877796491777,REUSED_MATCHED_REFERENCE,0.02
brusselator,26,tube,x,74939897799445055/144115188075855872,2.3283089641920895,2.5352159308440907,2.3408647753789147,2.5210408844083467,1.1483596119738748,REUSED_MATCHED_REFERENCE,0.02
brusselator,26,tube,y,74939897799445055/144115188075855872,1.4384471374001608,1.6590240235002771,1.4547769754763675,1.644382382272522,1.1633470259487866,REUSED_MATCHED_REFERENCE,0.02
brusselator,27,endpoint,x,155644403121924345/288230376151711744,2.347886483393214,2.5339947780025764,2.358510006817468,2.5216733255729005,1.1406258222065369,REUSED_MATCHED_REFERENCE,0.02
brusselator,27,endpoint,y,155644403121924345/288230376151711744,1.4257700892364646,1.5671570539794784,1.4240339813028915,1.570689008773852,0.9640785398305556,REUSED_MATCHED_REFERENCE,0.02
brusselator,27,tube,x,155644403121924345/288230376151711744,2.3399820427807905,2.5370210098883894,2.3517608072704257,2.5235443163933313,1.1470191062788444,REUSED_MATCHED_REFERENCE,0.02
brusselator,27,tube,y,155644403121924345/288230376151711744,1.406317164087642,1.6202623732862826,1.4222302615598525,1.606145122674873,1.16328396683963,REUSED_MATCHED_REFERENCE,0.02
brusselator,28,endpoint,x,40352252661239645/72057594037927936,2.352627328161018,2.531808029463935,2.362457113720978,2.5202254338953294,1.1357204101869296,REUSED_MATCHED_REFERENCE,0.02
brusselator,28,endpoint,y,40352252661239645/72057594037927936,1.3973423549647608,1.5353597668397887,1.395401638625133,1.5391818320612374,0.9599195033519166,REUSED_MATCHED_REFERENCE,0.02
brusselator,28,tube,x,40352252661239645/72057594037927936,2.3483738339378304,2.5347760887516912,2.359373775874097,2.522023336806778,1.146036015990299,REUSED_MATCHED_REFERENCE,0.02
brusselator,28,tube,y,40352252661239645/72057594037927936,1.3781920846736253,1.5846310199846825,1.3936342853399573,1.5710701682001706,1.1634565229046303,REUSED_MATCHED_REFERENCE,0.02
brusselator,29,endpoint,x,167173618167992815/288230376151711744,2.3542917794458793,2.5258721201166763,2.363345776597358,2.5150338764214073,1.1311390997040733,REUSED_MATCHED_REFERENCE,0.02
brusselator,29,endpoint,y,167173618167992815/288230376151711744,1.372615061795008,1.5067050784551883,1.3704724773983479,1.5107922658701889,0.9556030415987208,REUSED_MATCHED_REFERENCE,0.02
brusselator,29,tube,x,167173618167992815/288230376151711744,2.3530886135608355,2.5292026582042255,2.3633122240542526,2.517194801167018,1.1444703354190207,REUSED_MATCHED_REFERENCE,0.02
brusselator,29,tube,y,167173618167992815/288230376151711744,1.353927160579061,1.552092412084146,1.3687604089692318,1.5392037667123157,1.1626457852572187,REUSED_MATCHED_REFERENCE,0.02
brusselator,30,endpoint,x,86469112845513525/144115188075855872,2.352998822157678,2.516479451110558,2.3612981763395657,2.5063866107780255,1.1267654074951212,REUSED_MATCHED_REFERENCE,0.02
brusselator,30,endpoint,y,86469112845513525/144115188075855872,1.3513869333204447,1.4811153481160682,1.3488965680305651,1.4855921097540372,0.9490317910883828,REUSED_MATCHED_REFERENCE,0.02
brusselator,30,tube,x,86469112845513525/144115188075855872,2.351809885511181,2.523003054339883,2.361261457056709,2.5117579966437105,1.1375222931935651,REUSED_MATCHED_REFERENCE,0.02
brusselator,30,tube,y,86469112845513525/144115188075855872,1.3332924530142491,1.5226269868404785,1.3472544796661092,1.510651356536707,1.158740224736198,REUSED_MATCHED_REFERENCE,0.02
brusselator,31,endpoint,x,178702833214061285/288230376151711744,2.348886691828703,2.503937271713403,2.3564239490362837,2.494617571977121,1.1219807150658412,REUSED_MATCHED_REFERENCE,0.02
brusselator,31,endpoint,y,178702833214061285/288230376151711744,1.333439042443952,1.4584878987212189,1.3306937093342524,1.4632414401071685,0.9434251008906634,REUSED_MATCHED_REFERENCE,0.02
brusselator,31,tube,x,178702833214061285/288230376151711744,2.3477275371298574,2.5134157904914476,2.3563853727417037,2.5029755123509005,1.130282390093277,REUSED_MATCHED_REFERENCE,0.02
brusselator,31,tube,y,178702833214061285/288230376151711744,1.3160424221737592,1.4961800585292702,1.3291322616531402,1.4850984273261392,1.1549789377600672,REUSED_MATCHED_REFERENCE,0.02
brusselator,32,endpoint,x,5764607523034235/9007199254740992,2.3420992584634095,2.4885661737161855,2.34893251234847,2.479979444082439,1.1176676425367222,REUSED_MATCHED_REFERENCE,0.02
brusselator,32,endpoint,y,5764607523034235/9007199254740992,1.3185418528801724,1.43870256821573,1.3156185952340973,1.4436378278457866,0.9386145572363453,REUSED_MATCHED_REFERENCE,0.02
brusselator,32,tube,x,5764607523034235/9007199254740992,2.340982242874069,2.500755143257284,2.34889320982802,2.4910907005546474,1.1235985921184513,REUSED_MATCHED_REFERENCE,0.02
brusselator,32,tube,y,5764607523034235/9007199254740992,1.3019214430601596,1.4726716233471402,1.314144784028129,1.4624602843631522,1.1512632186203113,REUSED_MATCHED_REFERENCE,0.02
brusselator,33,endpoint,x,190232048260129755/288230376151711744,2.3328243508643145,2.470648684455097,2.3390064607197742,2.462757501079322,1.1137226256065917,REUSED_MATCHED_REFERENCE,0.02
brusselator,33,endpoint,y,190232048260129755/288230376151711744,1.3064546291070536,1.4216351400499574,1.3034075535085852,1.4266821244887176,0.9343412029514745,REUSED_MATCHED_REFERENCE,0.02
brusselator,33,tube,x,190232048260129755/288230376151711744,2.33175874589476,2.485303697740759,2.338967263490412,2.476386106624791,1.1173500543579065,REUSED_MATCHED_REFERENCE,0.02
brusselator,33,tube,y,190232048260129755/288230376151711744,1.290660538207524,1.4520134168423966,1.302025189928837,1.442648673961375,1.1474106174011316,REUSED_MATCHED_REFERENCE,0.02
brusselator,34,endpoint,x,97998327891581995/144115188075855872,2.321242642219624,2.4504698828595357,2.3268244932648634,2.443236223208762,1.1100877952951078,REUSED_MATCHED_REFERENCE,0.02
brusselator,34,endpoint,y,97998327891581995/144115188075855872,1.2969705686801154,1.4071226863470894,1.2938645866226541,1.4122028700973297,0.9308240278011686,REUSED_MATCHED_REFERENCE,0.02
brusselator,34,tube,x,97998327891581995/144115188075855872,2.320235114210016,2.467351424949144,2.3267860710533825,2.4591486595002414,1.1114644437328505,REUSED_MATCHED_REFERENCE,0.02
brusselator,34,tube,y,97998327891581995/144115188075855872,1.2820354166023047,1.434062400522956,1.292574742257551,1.425497276560488,1.1437261914836383,REUSED_MATCHED_REFERENCE,0.02
brusselator,35,endpoint,x,201761263306198225/288230376151711744,2.307528243300589,2.4283084913369546,2.3125670214992944,2.42168549643437,1.1068725814599996,REUSED_MATCHED_REFERENCE,0.02
brusselator,35,endpoint,y,201761263306198225/288230376151711744,1.2898742270938814,1.3950146425652794,1.2867628506674103,1.4000631864885156,0.9279797337706801,REUSED_MATCHED_REFERENCE,0.02
brusselator,35,tube,x,201761263306198225/288230376151711744,2.3065818883141036,2.4471870698933014,2.312529975302013,2.439654766201514,1.1060406124117361,REUSED_MATCHED_REFERENCE,0.02
brusselator,35,tube,y,201761263306198225/288230376151711744,1.2758118866363277,1.4186849030938542,1.2855645052486682,1.4108694519782783,1.1402025234153421,REUSED_MATCHED_REFERENCE,0.02
brusselator,36,endpoint,x,51881467707308115/72057594037927936,2.2918678962299173,2.4044114262944523,2.2963977265303335,2.39837295357245,1.1036359842381485,REUSED_MATCHED_REFERENCE,0.02
brusselator,36,endpoint,y,51881467707308115/72057594037927936,1.2849585271169948,1.3851623876640264,1.28188796566076,1.3901238904027942,0.9257911436138619,REUSED_MATCHED_REFERENCE,0.02
brusselator,36,tube,x,51881467707308115/72057594037927936,2.2909842509213796,2.425068662218622,2.296362489293265,2.4181817814251514,1.100682896368149,REUSED_MATCHED_REFERENCE,0.02
brusselator,36,tube,y,51881467707308115/72057594037927936,1.2717664501012846,1.4057436073935359,1.28077855964747,1.3986224391298838,1.1369038246254013,REUSED_MATCHED_REFERENCE,0.02
brusselator,37,endpoint,x,213290478352266695/288230376151711744,2.2744412034672954,2.379009292828228,2.2784914735911235,2.3735318015653983,1.1002496686378913,REUSED_MATCHED_REFERENCE,0.02
brusselator,37,endpoint,y,213290478352266695/288230376151711744,1.282033990239367,1.3774147047124738,1.2790396318191986,1.3822465606032712,0.9241696812106521,REUSED_MATCHED_REFERENCE,0.02
brusselator,37,tube,x,213290478352266695/288230376151711744,2.2736212124999136,2.4012391160121065,2.278458333471822,2.394974773901197,1.095278083006208,REUSED_MATCHED_REFERENCE,0.02
brusselator,37,tube,y,213290478352266695/288230376151711744,1.2696960801971522,1.395093350358861,1.2780154168909048,1.3886115111357367,1.1338309098340384,REUSED_MATCHED_REFERENCE,0.02
brusselator,38,endpoint,x,109527542937650465/144115188075855872,2.255418699055286,2.3523155789306527,2.2590360430129457,2.3473563923069367,1.0971070727180579,REUSED_MATCHED_REFERENCE,0.02
brusselator,38,endpoint,y,109527542937650465/144115188075855872,1.2809278185414479,1.3716219336632696,1.2780269875116466,1.376301372267061,0.9228662723001675,REUSED_MATCHED_REFERENCE,0.02
