actual_independent_inputs,artifact,batch,certificate_semantics_passed,cold_s,completion,cross_tool_ranking_eligible,device,device_group,device_name,endpoint_width_sum,finite_outputs,formal_claim_eligible,host_synchronizations,lane,mathematical_contract_known,numerical_soundness_class,numerical_soundness_scope,peak_memory_bytes,performance_measurement_eligible,requested_horizon,requested_horizon_completed,scope,soundness_classification,source_sha,track,validated_horizon,warm_max_s,warm_median_s,warm_min_s
True,05_batch_scaling/complete_carry/cpu_b1/summary.json,1,True,0.12422440573573112,validated,False,cpu,cpu,x86_64,0.40447334841560023,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,405925888,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,0.11731703951954842,0.1170765245333314,0.11682052537798882
True,05_batch_scaling/complete_carry/cpu_b8/summary.json,8,True,0.2512782486155629,validated,False,cpu,cpu,x86_64,0.40429827105121485,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,406560768,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,0.2623124271631241,0.24429343547672033,0.24324629176408052
True,05_batch_scaling/complete_carry/cpu_b64/summary.json,64,True,1.267107910476625,validated,False,cpu,cpu,x86_64,0.40428390062268216,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,419012608,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,1.2761116791516542,1.2506081899628043,1.2420703927055001
True,05_batch_scaling/complete_carry/cpu_b256/summary.json,256,True,4.62941409740597,validated,False,cpu,cpu,x86_64,0.404281601338925,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,454971392,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,4.685553003102541,4.629615402780473,4.599129137583077
True,05_batch_scaling/complete_carry/cpu_b512/summary.json,512,True,9.364687580615282,validated,False,cpu,cpu,x86_64,0.4042811025228281,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,501600256,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,9.349154345691204,9.332807992585003,9.319203468970954
True,05_batch_scaling/complete_carry/cuda_v100_b1/summary.json,1,True,0.5203393623232841,validated,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.4044733484155998,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,2097152,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,0.3181439992040396,0.3080491265282035,0.3070623595267534
True,05_batch_scaling/complete_carry/cuda_v100_b8/summary.json,8,True,0.6366446418687701,validated,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.4042982710512153,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,2097152,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,0.46311425045132637,0.45048640947788954,0.4448398035019636
True,05_batch_scaling/complete_carry/cuda_v100_b64/summary.json,64,True,1.7601190097630024,validated,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.40428390062268194,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,25165824,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,1.6150770243257284,1.5657342420890927,1.5533991660922766
True,05_batch_scaling/complete_carry/cuda_v100_b256/summary.json,256,True,5.560840219259262,validated,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.40428160133892543,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,27262976,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,5.377156214788556,5.36928319837898,5.305649719201028
True,05_batch_scaling/complete_carry/cuda_v100_b512/summary.json,512,True,10.730787804350257,validated,False,cuda:0,cuda_v100,Tesla V100-SXM2-16GB,0.4042811025228281,True,False,aggregate inclusion gates and trace extraction,complete_carry,True,empirically sampled only,primitive,54525952,True,0.002,True,complete_O4_one_step_plus_complete_endpoint_carry_kernel,empirically sampled only,412f59b3154b97f73086f71bc8b0b4fa154471af,F,0.002,10.531434846110642,10.488317304290831,10.472557722590864
